,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
18,NC-Asheville,8.6%,5.0%,5.3%,6.2%,6.8%,4.9%,7.4%,6.6%,3.7%,7.0%,8.5%,6.4%,8.3%,7.7%,3.8%,8.7%,9.2%,7.8%,5.6%,3.4%,5.5%,5.0%,4.2%,7.3%,8.1%,6.7%
19,Vermont,8.5%,6.3%,6.1%,6.3%,4.4%,5.0%,5.0%,3.1%,5.9%,7.1%,8.6%,8.8%,7.1%,5.8%,4.5%,5.6%,7.6%,9.9%,7.6%,8.0%,4.5%,7.3%,6.2%,4.8%,4.3%,5.3%
20,Tulane,8.5%,5.5%,5.8%,5.4%,5.8%,5.2%,7.2%,6.6%,8.3%,10.5%,9.5%,6.2%,5.5%,5.4%,6.4%,3.5%,5.3%,3.8%,6.7%,6.7%,6.9%,5.6%,4.5%,5.5%,5.5%,6.6%
21,Fairfield,8.5%,5.6%,3.8%,6.9%,11.5%,9.1%,7.8%,11.6%,4.4%,6.3%,6.0%,6.6%,9.2%,6.7%,7.9%,7.8%,7.1%,6.7%,6.5%,4.9%,4.9%,3.9%,5.2%,4.1%,5.2%,6.2%
22,Auburn,8.3%,6.0%,5.4%,7.9%,9.0%,8.8%,8.8%,3.4%,8.0%,7.0%,4.4%,6.0%,5.1%,6.3%,9.0%,7.2%,8.3%,4.6%,6.7%,8.2%,9.2%,8.8%,8.2%,9.5%,13.5%,8.9%
23,Morgan St,8.2%,8.9%,5.2%,4.6%,4.6%,3.5%,3.2%,4.4%,5.8%,6.3%,9.1%,5.8%,7.1%,7.2%,7.9%,9.4%,8.9%,5.5%,3.7%,5.8%,4.8%,2.9%,7.0%,6.4%,5.9%,7.4%
24,Pittsburgh,8.2%,7.2%,3.8%,6.0%,8.1%,7.7%,8.4%,7.5%,6.9%,6.6%,6.0%,6.7%,7.4%,6.0%,5.0%,8.2%,5.7%,5.5%,6.1%,5.5%,5.9%,6.6%,6.1%,6.6%,7.1%,6.9%
25,Temple,8.1%,7.0%,8.0%,6.8%,5.6%,7.1%,5.5%,6.0%,5.2%,5.0%,7.7%,7.4%,5.5%,8.2%,7.2%,6.7%,5.9%,8.1%,5.3%,6.8%,5.7%,3.8%,5.1%,4.1%,8.0%,6.8%
26,Maryland,8.1%,10.0%,11.1%,9.7%,9.4%,10.6%,11.3%,9.5%,9.7%,11.0%,10.5%,7.0%,7.2%,7.5%,7.4%,7.4%,7.9%,7.5%,9.0%,7.9%,7.1%,8.1%,7.3%,5.8%,5.3%,6.9%
27,Creighton,8.0%,5.6%,4.4%,7.2%,7.2%,8.1%,7.3%,6.1%,5.8%,4.9%,6.8%,7.3%,5.9%,5.5%,4.0%,4.4%,2.5%,4.3%,5.2%,4.8%,3.9%,4.3%,4.1%,5.5%,6.7%,6.5%
28,Nebraska,8.0%,8.7%,7.7%,6.6%,5.4%,5.4%,7.0%,7.4%,6.7%,4.4%,5.6%,3.5%,5.6%,6.8%,5.1%,6.1%,6.0%,5.5%,6.1%,6.2%,9.0%,7.4%,3.7%,5.0%,4.3%,4.1%
29,Austin Peay,7.9%,5.6%,6.6%,7.6%,6.9%,8.0%,7.5%,4.8%,5.2%,5.1%,4.0%,5.7%,5.4%,7.3%,6.3%,7.9%,8.6%,7.1%,4.5%,3.9%,5.3%,5.6%,5.4%,3.5%,3.7%,5.7%
30,Cornell,7.8%,6.9%,3.7%,2.6%,4.5%,3.9%,5.3%,5.8%,4.9%,5.5%,4.9%,6.5%,6.8%,4.8%,5.4%,6.7%,5.0%,9.0%,6.0%,4.3%,5.1%,5.5%,4.7%,--,4.4%,3.7%
31,VA Tech,7.8%,10.2%,9.0%,8.0%,8.6%,7.4%,6.6%,8.7%,8.1%,8.4%,8.6%,7.8%,8.1%,6.8%,6.1%,6.6%,7.9%,5.3%,6.0%,4.5%,3.8%,4.2%,5.1%,7.0%,5.9%,5.4%
32,Fresno St,7.8%,7.6%,7.0%,9.6%,8.6%,8.2%,5.4%,6.4%,6.5%,10.1%,5.2%,8.1%,7.8%,6.6%,6.2%,6.9%,7.4%,6.8%,6.7%,6.7%,6.0%,6.1%,6.5%,4.8%,5.3%,6.4%
33,Colorado St,7.8%,6.8%,8.2%,2.8%,6.3%,7.4%,8.6%,9.2%,11.3%,8.0%,5.5%,4.5%,4.7%,4.6%,3.5%,3.6%,5.9%,6.4%,3.9%,5.8%,5.2%,3.9%,3.3%,4.7%,5.4%,4.3%
34,N Carolina,7.7%,6.4%,7.5%,8.2%,5.6%,7.8%,6.7%,6.2%,6.7%,7.5%,7.0%,8.0%,8.7%,8.7%,9.0%,5.3%,8.3%,7.1%,7.4%,5.8%,6.5%,5.3%,5.8%,7.9%,6.2%,6.2%
35,Cincinnati,7.7%,8.0%,11.2%,6.4%,7.3%,8.1%,9.9%,11.2%,9.3%,3.8%,4.4%,5.5%,5.5%,7.2%,8.2%,11.2%,10.8%,10.3%,10.1%,8.8%,9.8%,8.3%,8.2%,6.7%,6.6%,6.6%
36,Wm & Mary,7.7%,5.9%,7.2%,6.7%,2.6%,4.4%,3.4%,4.4%,3.1%,3.7%,3.8%,4.3%,4.5%,5.3%,3.7%,5.0%,5.4%,7.2%,6.6%,7.3%,6.1%,7.4%,6.4%,5.5%,4.9%,3.4%
37,S Utah,7.7%,7.0%,5.4%,5.1%,4.5%,6.2%,4.0%,3.7%,4.2%,6.1%,3.6%,1.8%,6.4%,8.1%,4.6%,9.5%,6.4%,6.8%,4.8%,5.7%,5.1%,5.6%,7.3%,4.6%,4.0%,5.6%
38,Rhode Island,7.6%,7.4%,5.8%,5.4%,4.8%,4.5%,5.8%,7.3%,5.8%,5.2%,6.6%,6.1%,8.8%,6.9%,6.9%,7.5%,9.4%,11.0%,9.5%,11.0%,6.6%,7.1%,6.4%,7.6%,10.7%,6.5%
