Team,GP,PTS,PPG,AST,TO,AST/TO,APG,Bench,Bench_PPG,BLKS,BKPG,EFF_FG_PCT,FB pts,FB_PPG,FGM,FGA,FG%,OPP FG,OPP FGA,OPP FG%,Fouls,PFPG,DQ,FT,FTA,FTAvgAtt,FT%,REB,RPG,OPP REB,OPP RPG,REB MAR,DRebs,DRPG,OReb,ORPG,OPP PTS,OPP PPG,SCR MAR,ST,STPG,3FG,3FGA,3FG%,Opp 3FGA,Opp 3FG,OPP_3FG%,3PG,TO_RATIO,OPP TO,AVG_FCD_TO,TO,TOPG,W,L,Pct
South Carolina,32,2059,64.3,355,421,0.84,11.1,337,10.53,84,2.6,0.469,195,6.09,744,1846,40.3,864,1858,46.502,512,16.0,14,327,495,15.5,66.06,1091,34.1,1122,35.1,0,713,22.28,378,11.81,2324,72.6,-8,157,4.9,244,755,32.32,674,228,33.8,7.6,-2.7,336,10.5,421,13.2,11,21,34.4
Marist,33,2110,63.9,357,392,0.91,10.8,579,17.55,124,3.8,0.479,105,3.18,745,1819,40.96,782,1893,41.31,509,15.4,4,367,526,15.9,69.77,1131,34.3,1184,35.9,-1,837,25.36,294,8.91,2199,66.7,-2,195,5.9,253,771,32.81,711,249,35.0,7.7,-0.8,365,11.06,392,11.9,13,20,39.4
Louisville,32,2046,63.9,299,478,0.63,9.3,467,14.59,90,2.8,0.48,157,4.91,716,1700,42.12,877,1862,47.1,527,16.5,8,414,559,17.5,74.06,1031,32.2,1064,33.2,-1,737,23.03,294,9.19,2425,75.8,-11,145,4.5,200,608,32.89,739,260,35.2,6.2,-4.8,325,10.16,478,14.9,4,28,12.5
Fresno St.,31,1974,63.7,382,359,1.06,12.3,442,14.26,103,3.3,0.493,234,7.55,720,1673,43.04,711,1607,44.244,499,16.1,7,324,420,13.5,77.14,938,30.3,1012,32.6,-2,690,22.26,248,8.0,2036,65.7,-2,196,6.3,210,681,30.84,603,227,37.6,6.8,1.4,401,12.94,359,11.6,11,20,35.5
Mount St. Mary's,33,2101,63.7,410,450,0.91,12.4,406,12.3,82,2.5,0.485,159,4.82,771,1818,42.41,797,1880,42.394,540,16.4,13,339,463,14.0,73.22,1110,33.6,1136,34.4,0,802,24.3,308,9.33,2212,67.0,-3,182,5.5,220,622,35.37,678,226,33.3,6.7,-1.8,392,11.88,450,13.6,13,20,39.4
CSUN,32,2028,63.4,314,400,0.78,9.8,540,16.88,99,3.1,0.454,248,7.75,695,1735,40.06,737,1729,42.626,605,18.9,8,454,612,19.1,74.18,1066,33.3,1126,35.2,-1,753,23.53,313,9.78,2194,68.6,-5,201,6.3,184,575,32.0,656,221,33.7,5.8,-0.5,383,11.97,400,12.5,7,25,21.9
Jacksonville,29,1837,63.3,376,333,1.13,13.0,464,16.0,69,2.4,0.517,180,6.21,686,1519,45.16,642,1576,40.736,409,14.1,8,265,353,12.2,75.07,968,33.4,901,31.1,2,748,25.79,220,7.59,1816,62.6,0,148,5.1,200,588,34.01,765,241,31.5,6.9,-1.9,277,9.55,333,11.5,13,16,44.8
Alabama St.,31,1963,63.3,309,414,0.75,10.0,612,19.74,110,3.5,0.426,311,10.03,683,1821,37.51,801,1839,43.556,557,18.0,8,412,584,18.8,70.55,1117,36.0,1184,38.2,-2,730,23.55,387,12.48,2252,72.6,-9,182,5.9,185,605,30.58,635,216,34.0,6.0,-1.1,379,12.23,414,13.4,8,23,25.8
Presbyterian,32,2021,63.2,344,430,0.8,10.8,657,20.53,98,3.1,0.476,261,8.16,718,1709,42.01,786,1686,46.619,617,19.3,20,394,630,19.7,62.54,1048,32.8,1052,32.9,0,712,22.25,336,10.5,2223,69.5,-6,176,5.5,191,616,31.01,592,222,37.5,6.0,-1.1,396,12.38,430,13.4,5,27,15.6
Stony Brook,33,2083,63.1,389,413,0.94,11.8,512,15.52,83,2.5,0.486,128,3.88,726,1756,41.34,824,1935,42.584,499,15.1,8,375,504,15.3,74.4,1119,33.9,1161,35.2,-1,867,26.27,252,7.64,2279,69.1,-5,144,4.4,256,794,32.24,846,289,34.2,7.8,-3.3,303,9.18,413,12.5,11,22,33.3
