,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
323,Binghamton,,,,,5.1%,5.2%,6.2%,6.7%,5.6%,5.0%,5.7%,6.2%,4.9%,6.3%,4.8%,4.2%,6.7%,4.6%,5.2%,5.8%,4.8%,5.5%,4.7%,4.3%,5.9%,5.4%
324,Gard-Webb,,,,,5.5%,5.9%,6.1%,5.6%,5.0%,4.5%,6.0%,7.2%,6.7%,7.0%,6.2%,5.6%,7.9%,6.5%,5.4%,6.8%,6.5%,5.5%,5.0%,5.6%,5.7%,5.4%
325,Savannah St,,,,,7.9%,6.7%,7.7%,7.8%,10.2%,7.9%,8.7%,8.9%,8.6%,7.0%,9.4%,9.3%,8.0%,10.4%,6.9%,6.8%,5.1%,4.6%,,,,
326,Morris Brown,,,,,8.0%,,,,,,,,,,,,,,,,,,,,,
327,IPFW,,,,,,4.2%,4.9%,4.4%,6.0%,5.0%,6.0%,6.1%,8.0%,6.7%,6.2%,5.2%,5.3%,6.0%,5.3%,4.2%,3.8%,4.9%,5.3%,4.3%,5.2%,5.8%
328,UC Davis,,,,,,,7.5%,6.0%,7.4%,6.9%,5.7%,5.4%,5.4%,4.0%,7.0%,5.9%,6.3%,4.9%,6.3%,6.2%,6.4%,6.3%,5.4%,6.1%,4.1%,6.2%
329,Utah Val St,,,,,,,,6.4%,5.6%,5.1%,4.9%,5.1%,8.1%,6.6%,7.0%,5.4%,6.9%,7.2%,5.4%,4.9%,6.0%,5.2%,7.0%,5.8%,5.8%,5.3%
330,Longwood,,,,,,,,6.6%,6.3%,6.8%,5.9%,5.9%,7.5%,4.8%,5.1%,6.1%,8.9%,6.7%,5.0%,4.5%,6.0%,6.0%,6.2%,6.0%,7.1%,6.0%
331,N Colorado,,,,,,,,7.0%,5.8%,7.9%,6.8%,6.6%,6.0%,6.2%,6.2%,5.9%,6.5%,6.6%,5.8%,6.3%,4.8%,5.6%,5.3%,4.9%,3.8%,6.5%
332,N Florida,,,,,,,,,5.7%,8.9%,6.9%,7.0%,7.1%,8.1%,7.4%,6.8%,7.1%,4.9%,4.1%,6.1%,5.6%,5.4%,4.9%,5.3%,5.6%,5.2%
333,Kennesaw St,,,,,,,,,6.1%,5.3%,5.4%,5.1%,4.6%,5.9%,6.4%,6.3%,7.0%,6.3%,5.8%,5.2%,5.3%,6.6%,7.3%,4.6%,4.7%,5.3%
334,S Dakota St,,,,,,,,,7.2%,5.9%,6.8%,6.1%,7.0%,5.3%,4.6%,4.9%,5.4%,5.5%,6.5%,5.7%,4.6%,5.2%,5.6%,5.3%,4.6%,5.7%
335,N Dakota St,,,,,,,,,7.6%,6.7%,6.1%,5.3%,8.9%,7.9%,5.2%,5.8%,3.7%,4.8%,5.0%,5.1%,5.0%,5.2%,5.3%,4.9%,4.0%,4.6%
336,NJIT,,,,,,,,,,5.7%,8.4%,7.4%,8.3%,7.1%,7.0%,9.3%,9.0%,6.2%,7.0%,5.0%,7.5%,6.5%,6.3%,6.0%,5.9%,6.0%
337,Central Ark,,,,,,,,,,6.3%,8.3%,9.5%,9.3%,8.6%,6.9%,6.2%,5.0%,7.0%,6.9%,5.0%,5.0%,4.8%,5.4%,6.0%,5.6%,5.4%
338,Wins-Salem,,,,,,,,,,10.6%,7.4%,6.8%,7.0%,,,,,,,,,,,,,
339,SC Upstate,,,,,,,,,,,4.6%,4.8%,4.9%,5.9%,5.6%,3.7%,4.7%,4.8%,5.0%,3.2%,4.0%,5.7%,5.7%,5.4%,6.2%,4.9%
